,Commercial,District_Heating,Electric_Vehicle,Electrolyzer,Heating,Industrial,Residential,Total,scaling_factor,year,share of residential,share of non-residential,,yr_timeframe,average_residential_load_share,average_non_residential_load_share,average_scaling_factor
0,1.860333333,0.000666667,0,0,0.008666667,1.786333333,0.867333333,4.523333333,1,2019,,,,1,0.156805752,0.843194248,1.055033161
1,1.857666667,0.000666667,0,0,0.011,1.775333333,0.844666667,4.489333333,0.992483419,2020,,,,2,0.126341639,0.873658361,1.329299926
2,1.850666667,0.001,0.023,0,0.012333333,1.766,0.812,4.465,0.987103906,2021,,,,3,0.095070286,0.904929714,1.768504053
3,1.839666667,0.001,0.049333333,0,0.014333333,1.752333333,0.786,4.442666667,0.982166544,2022,,,,4,0.079660427,0.920339573,2.08853353
4,1.827666667,0.001,0.094666667,0,0.016666667,1.743666667,0.769666667,4.453333333,0.984524687,2023,,,,5,0.075705897,0.924294103,2.174269222
5,1.815,0.001666667,0.157333333,0,0.019666667,1.732,0.756,4.481666667,0.990788504,2024,,,,,,,
6,1.801,0.002333333,0.241333333,0,0.024333333,1.719333333,0.746666667,4.535,1.002579219,2025,0.164645351,0.835354649,,,,,
7,1.785,0.002333333,0.352,0,0.029,1.705,0.745333333,4.618666667,1.021075903,2026,0.161374134,0.838625866,,,,,
8,1.769666667,0.002666667,0.493333333,0,0.034333333,1.69,0.746333333,4.736333333,1.047089167,2027,0.157576184,0.842423816,,,,,
9,1.754333333,0.003,0.670333333,0,0.039333333,1.675,0.748,4.89,1.081061164,2028,0.152965235,0.847034765,,,,,
10,1.738,0.003333333,0.886666667,0,0.044666667,1.659333333,0.749333333,5.081333333,1.123360354,2029,0.147467856,0.852532144,,,,,
11,1.723666667,0.003666667,1.145666667,0,0.049666667,1.652,0.750333333,5.325,1.177229182,2030,0.140907668,0.859092332,,,,,
12,1.716,0.004,1.482,0,0.054,1.647333333,0.752333333,5.655666667,1.250331614,2031,0.133022927,0.866977073,,,,,
13,1.709,0.004,1.803666667,0,0.061666667,1.644333333,0.755333333,5.978,1.321591746,2032,0.12635218,0.87364782,,,,,
14,1.702,0.004666667,2.172666667,0,0.068333333,1.642666667,0.757666667,6.348,1.403389831,2033,0.119355178,0.880644822,,,,,
15,1.694666667,0.005333333,2.583,0,0.074,1.643333333,0.757333333,6.757666667,1.493957259,2034,0.112070241,0.887929759,,,,,
16,1.686666667,0.006,2.991,0,0.082666667,1.644333333,0.758333333,7.169,1.584893147,2035,0.105779514,0.894220486,,,,,
17,1.679666667,0.006333333,3.418666667,0,0.090666667,1.649666667,0.757666667,7.602666667,1.680766396,2036,0.099658015,0.900341985,,,,,
18,1.673333333,0.007,3.840333333,0,0.100666667,1.658666667,0.757,8.037,1.77678703,2037,0.094189374,0.905810626,,,,,
19,1.666333333,0.008,4.223666667,0,0.107333333,1.665666667,0.755333333,8.426333333,1.862859248,2038,0.089639622,0.910360378,,,,,
20,1.657666667,0.008666667,4.555,0,0.113666667,1.673333333,0.754333333,8.762666667,1.937214444,2039,0.086084906,0.913915094,,,,,
21,1.651666667,0.009666667,4.829666667,0,0.118666667,1.688,0.749,9.046666667,2,2040,0.082792926,0.917207074,,,,,
22,1.649333333,0.010666667,5.047333333,0,0.130666667,1.702666667,0.750333333,9.291,2.054016212,2041,0.080759158,0.919240842,,,,,
23,1.647,0.011666667,5.215333333,0,0.153333333,1.726333333,0.756333333,9.51,2.102431835,2042,0.079530319,0.920469681,,,,,
24,1.645,0.013333333,5.336,0,0.165666667,1.749333333,0.755666667,9.665,2.1366986,2043,0.078185894,0.921814106,,,,,
25,1.642,0.014333333,5.371666667,0,0.172,1.774,0.749,9.723,2.149521002,2044,0.077033837,0.922966163,,,,,
26,1.639,0.015333333,5.398,0,0.183666667,1.798,0.744333333,9.778333333,2.161753869,2045,0.076120675,0.923879325,,,,,
27,1.635,0.016666667,5.404333333,0,0.201666667,1.817333333,0.746,9.821,2.171186441,2046,0.075959678,0.924040322,,,,,
28,1.630333333,0.018333333,5.401333333,0,0.216,1.837333333,0.747,9.850333333,2.177671334,2047,0.075834997,0.924165003,,,,,
29,1.625,0.019666667,5.408,0,0.221666667,1.853333333,0.744333333,9.872,2.182461312,2048,0.075398433,0.924601567,,,,,
30,1.617333333,0.021,5.386333333,0,0.222666667,1.863333333,0.741,9.851666667,2.177966102,2049,0.0752157,0.9247843,,,,,
31,1.611333333,0.022666667,5.360333333,0,0.229666667,1.871666667,0.740666667,9.836333333,2.174576271,2050,0.075299061,0.924700939,,,,,
